architecture,dataset,method,no_flips,seq
s2,fashion-mnist,random,5.7957,1
s2,fashion-mnist,sensitivity,3.9968,1
s2,fashion-mnist,guided_backprop,3.752,1
s2,fashion-mnist,lrp_deep_taylor_f025,4.611,1
s2,fashion-mnist,lrp_deep_taylor_f050,4.3247,1
s2,fashion-mnist,lrp_deep_taylor,4.0158,1
s2,fashion-mnist,random,6.4923,4
s2,fashion-mnist,sensitivity,5.4877,4
s2,fashion-mnist,guided_backprop,6.454,4
s2,fashion-mnist,lrp_deep_taylor_f025,7.2478,4
s2,fashion-mnist,lrp_deep_taylor_f050,7.5298,4
s2,fashion-mnist,lrp_deep_taylor,7.5502,4
s2,fashion-mnist,random,5.3468,7
s2,fashion-mnist,sensitivity,5.0349,7
s2,fashion-mnist,guided_backprop,5.4873,7
s2,fashion-mnist,lrp_deep_taylor_f025,7.0534,7
s2,fashion-mnist,lrp_deep_taylor_f050,7.4025,7
s2,fashion-mnist,lrp_deep_taylor,7.2616,7
s3,fashion-mnist,random,6.0409,1
s3,fashion-mnist,sensitivity,3.6976,1
s3,fashion-mnist,guided_backprop,3.696,1
s3,fashion-mnist,lrp_deep_taylor_f025,4.3415,1
s3,fashion-mnist,lrp_deep_taylor_f050,4.3333,1
s3,fashion-mnist,lrp_deep_taylor,4.3223,1
s3,fashion-mnist,random,6.0664,4
s3,fashion-mnist,sensitivity,3.9984,4
s3,fashion-mnist,guided_backprop,4.5381,4
s3,fashion-mnist,lrp_deep_taylor_f025,4.2989,4
s3,fashion-mnist,lrp_deep_taylor_f050,4.3367,4
s3,fashion-mnist,lrp_deep_taylor,4.4362,4
s3,fashion-mnist,random,5.5229,7
s3,fashion-mnist,sensitivity,6.2326,7
s3,fashion-mnist,guided_backprop,5.6476,7
s3,fashion-mnist,lrp_deep_taylor_f025,6.0985,7
s3,fashion-mnist,lrp_deep_taylor_f050,6.1636,7
s3,fashion-mnist,lrp_deep_taylor,6.316,7
deep_4l,fashion-mnist,random,6.3051,1
deep_4l,fashion-mnist,sensitivity,3.7626,1
deep_4l,fashion-mnist,guided_backprop,3.7725,1
deep_4l,fashion-mnist,lrp_deep_taylor_f025,4.4091,1
deep_4l,fashion-mnist,lrp_deep_taylor_f050,4.3991,1
deep_4l,fashion-mnist,lrp_deep_taylor,4.3868,1
deep_4l,fashion-mnist,random,6.8023,4
deep_4l,fashion-mnist,sensitivity,5.04,4
deep_4l,fashion-mnist,guided_backprop,5.7973,4
deep_4l,fashion-mnist,lrp_deep_taylor_f025,5.2705,4
deep_4l,fashion-mnist,lrp_deep_taylor_f050,5.2848,4
deep_4l,fashion-mnist,lrp_deep_taylor,5.2792,4
deep_4l,fashion-mnist,random,5.424,7
deep_4l,fashion-mnist,sensitivity,4.8438,7
deep_4l,fashion-mnist,guided_backprop,5.3519,7
deep_4l,fashion-mnist,lrp_deep_taylor_f025,4.6683,7
deep_4l,fashion-mnist,lrp_deep_taylor_f050,4.5939,7
deep_4l,fashion-mnist,lrp_deep_taylor,4.4387,7
convdeep_4l,fashion-mnist,random,8.5569,1
convdeep_4l,fashion-mnist,sensitivity,5.6941,1
convdeep_4l,fashion-mnist,guided_backprop,4.9821,1
convdeep_4l,fashion-mnist,lrp_deep_taylor_f025,4.98,1
convdeep_4l,fashion-mnist,lrp_deep_taylor_f050,5.0236,1
convdeep_4l,fashion-mnist,lrp_deep_taylor,5.1275,1
convdeep_4l,fashion-mnist,random,7.4029,4
convdeep_4l,fashion-mnist,sensitivity,4.6645,4
convdeep_4l,fashion-mnist,guided_backprop,4.1795,4
convdeep_4l,fashion-mnist,lrp_deep_taylor_f025,4.1041,4
convdeep_4l,fashion-mnist,lrp_deep_taylor_f050,4.351,4
convdeep_4l,fashion-mnist,lrp_deep_taylor,4.9524,4
convdeep_4l,fashion-mnist,random,5.2854,7
convdeep_4l,fashion-mnist,sensitivity,5.9075,7
convdeep_4l,fashion-mnist,guided_backprop,4.9202,7
convdeep_4l,fashion-mnist,lrp_deep_taylor_f025,4.668,7
convdeep_4l,fashion-mnist,lrp_deep_taylor_f050,4.6687,7
convdeep_4l,fashion-mnist,lrp_deep_taylor,5.0121,7
