architecture,dataset,method,no_flips,seq
s2,mnist,random,7.907469683073474,1
s2,mnist,sensitivity,3.925405074900642,1
s2,mnist,guided_backprop,3.662896158157546,1
s2,mnist,lrp_deep_taylor,3.2525221644756956,1
s2,mnist,random,7.375483214649034,4
s2,mnist,sensitivity,4.341912512716175,4
s2,mnist,guided_backprop,5.314038657171922,4
s2,mnist,lrp_deep_taylor,8.556866734486267,4
s2,mnist,random,7.272050576119098,7
s2,mnist,sensitivity,4.3336392372794945,7
s2,mnist,guided_backprop,4.950035688793719,7
s2,mnist,lrp_deep_taylor,8.53941062506373,7
s3,mnist,random,8.063955864323662,1
s3,mnist,sensitivity,3.922864732325296,1
s3,mnist,guided_backprop,3.9671025745811197,1
s3,mnist,lrp_deep_taylor,3.313240702901512,1
s3,mnist,random,6.961667173714633,4
s3,mnist,sensitivity,4.639387486056181,4
s3,mnist,guided_backprop,4.37288307473887,4
s3,mnist,lrp_deep_taylor,4.409187709157286,4
s3,mnist,random,6.315468940316687,7
s3,mnist,sensitivity,4.476045473000406,7
s3,mnist,guided_backprop,4.4194072269589935,7
s3,mnist,lrp_deep_taylor,4.771010962241169,7
deep_4l,mnist,random,8.26354528726232,1
deep_4l,mnist,sensitivity,3.605908812103864,1
deep_4l,mnist,guided_backprop,3.558679206706195,1
deep_4l,mnist,lrp_deep_taylor,3.1144960130852586,1
deep_4l,mnist,random,6.22191613100704,4
deep_4l,mnist,sensitivity,4.228037955310683,4
deep_4l,mnist,guided_backprop,4.189776553412917,4
deep_4l,mnist,lrp_deep_taylor,3.975104581165187,4
deep_4l,mnist,random,6.875229732489279,7
deep_4l,mnist,sensitivity,4.427098223402083,7
deep_4l,mnist,guided_backprop,4.518787012456606,7
deep_4l,mnist,lrp_deep_taylor,4.317439248519502,7
convdeep_4l,mnist,random,9.412912308930007,1
convdeep_4l,mnist,sensitivity,5.716814159292035,1
convdeep_4l,mnist,guided_backprop,5.762268704746581,1
convdeep_4l,mnist,lrp_deep_taylor,5.620776347546259,1
convdeep_4l,mnist,random,8.040882086396133,4
convdeep_4l,mnist,sensitivity,4.714832343167858,4
convdeep_4l,mnist,guided_backprop,4.853287685026684,4
convdeep_4l,mnist,lrp_deep_taylor,4.849561977645756,4
convdeep_4l,mnist,random,7.039858728557014,7
convdeep_4l,mnist,sensitivity,4.632290615539858,7
convdeep_4l,mnist,guided_backprop,4.681029263370333,7
convdeep_4l,mnist,lrp_deep_taylor,5.099394550958627,7
